"filename", "language", "JavaScript JSX", "CSS", "JSON", "XML", "comment", "blank", "total"
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/App.css", "CSS", 0, 192, 0, 0, 6, 48, 246
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/App.jsx", "JavaScript JSX", 293, 0, 0, 0, 2, 10, 305
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/assets/AnimationLoading.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/assets/react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/components/Modal_Profile.jsx", "JavaScript JSX", 450, 0, 0, 0, 15, 47, 512
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/components/NavBar.jsx", "JavaScript JSX", 41, 0, 0, 0, 5, 11, 57
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/components/prueba.jsx", "JavaScript JSX", 75, 0, 0, 0, 1, 7, 83
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/components/streeper.jsx", "JavaScript JSX", 79, 0, 0, 0, 0, 13, 92
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/config/themeResponsiveParallelCoordinates.json", "JSON", 0, 0, 25, 0, 0, 0, 25
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/index.css", "CSS", 0, 64, 0, 0, 0, 12, 76
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/main.jsx", "JavaScript JSX", 10, 0, 0, 0, 2, 6, 18
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/pages/Comparison_Between_Experiments.jsx", "JavaScript JSX", 247, 0, 0, 0, 6, 34, 287
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/pages/Finish.jsx", "JavaScript JSX", 58, 0, 0, 0, 6, 10, 74
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/pages/Home/Home.jsx", "JavaScript JSX", 8, 0, 0, 0, 0, 1, 9
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/pages/Introduction/Introduction.jsx", "JavaScript JSX", 51, 0, 0, 0, 6, 6, 63
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/pages/Simulated_Experiment/Assessment.jsx", "JavaScript JSX", 440, 0, 0, 0, 42, 54, 536
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/pages/Simulated_Experiment/Dashboard_Training.jsx", "JavaScript JSX", 353, 0, 0, 0, 15, 46, 414
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/pages/Simulated_Experiment/Quiz.jsx", "JavaScript JSX", 247, 0, 0, 0, 1, 7, 255
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/pages/Simulated_Experiment/Training.jsx", "JavaScript JSX", 53, 0, 0, 0, 6, 7, 66
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/pages/Traditional_Experiment/Assessment.jsx", "JavaScript JSX", 516, 0, 0, 0, 19, 52, 587
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/pages/Traditional_Experiment/Dashboard_Training.jsx", "JavaScript JSX", 355, 0, 0, 0, 12, 19, 386
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/pages/Traditional_Experiment/Quiz.jsx", "JavaScript JSX", 248, 0, 0, 0, 1, 6, 255
"/Users/eduardoisaacdavilabernal/Desktop/CEREBRAL_Experiments/src/pages/Traditional_Experiment/Training.jsx", "JavaScript JSX", 50, 0, 0, 0, 1, 9, 60
"Total", "-", 3574, 256, 26, 1, 146, 405, 4408